artiest;titel;soort;jaar;label;catalogusnummer;persing;vraagprijs;advies;foto's;discogs
Julio Iglesias;24 Exitos De Oro;LP;1979;CBS;S 88454;Spain;6.0;los of lot;"IMG20260913162817.jpg;IMG20260913162823.jpg;IMG20260913162836.jpg";https://www.discogs.com/release/916443
Julio Iglesias;Aimer La Vie... Canta En Frances;LP;1982;CBS;S 82854;Spain;;geen marktdata - zelf bekijken;"IMG20260913162056.jpg;IMG20260913162103.jpg";https://www.discogs.com/release/18000364
Julio Iglesias;Emociones;LP;1979;CBS, CBS;CBS 83703;Netherlands;5.0;los of lot;"IMG20260913162033.jpg;IMG20260913162038.jpg";https://www.discogs.com/release/850689
Julio Iglesias;Fidèle;LP;1981;CBS;CBS 85066;Europe;5.0;los of lot;"IMG20260913162304.jpg;IMG20260913162310.jpg";https://www.discogs.com/release/788488
Julio Iglesias;Hey!;LP;1980;CBS, CBS;CBS 84304;Europe;5.0;los of lot;"IMG20260913163442.jpg;IMG20260913163448.jpg";https://www.discogs.com/release/934332
Julio Iglesias;Sentimental;LP;1980;CBS;CBS 84357;Europe;5.0;los of lot;"IMG20260913162011.jpg;IMG20260913162019.jpg";https://www.discogs.com/release/2323006
Julio Iglesias;The 24 Greatest Songs;LP;1979;CBS, CBS;CBS 88469;Netherlands;5.0;los of lot;"IMG20260913162120.jpg;IMG20260913162126.jpg;IMG20260913162152.jpg";https://www.discogs.com/release/552918
Lange Jojo;Hij Dansde De French Can Can;single;1973;Vogue;VB. 297;Belgium;3.0;los of lot;"IMG20260913165108.jpg;IMG20260913165113.jpg";https://www.discogs.com/release/4035126
Lee Towers;New York;LP;1982;Ariola, Ariola;204.867;Europe;5.0;los of lot;"IMG20260913161310.jpg;IMG20260913161345.jpg";https://www.discogs.com/release/1029942
Leonard Bernstein, Kiri Te Kanawa, José Carreras, Tatiana Troyanos, Kurt Ollmann, Marilyn Horne;West Side Story;LP;1985;Deutsche Grammophon;415 253-1;Germany;;zeer courant, in een lot;"IMG20260913164219.jpg;IMG20260913164225.jpg;IMG20260913164246.jpg;IMG20260913164259.jpg";https://www.discogs.com/release/869619
Lime (2);Your Love / Agent 406;maxi;1981;Polydor;2141 421;Belgium;5.0;los of lot;"IMG20260913162647.jpg;IMG20260913162654.jpg";https://www.discogs.com/release/1162070
Lucio Battisti;Ancora Tu Greatest Hits;LP;1977;Numero Uno;PL 34007;Germany;5.0;los of lot;"IMG20260913170711.jpg;IMG20260913170717.jpg";https://www.discogs.com/release/539634
